Station Name: KNOCK AIRPORT
Station Height: 201 M 
Latitude:53.906  ,Longitude: -8.817


date:  -  Date and Time (utc)
ind:   -  irainfall   Rainfall indicator
rain:  -  Precipitation Amount (mm)  
ind:   -  ittt Dry bulb indicator
temp:  -  Air Temperature (C)
ind:   -  iwb Wet bulb indicator
wetb:  -  Wet Bulb Temperature (C)
dewpt: -  Dew Point Temperature (C)             
rhum:  -  Relative Humidity (%)
vappr: -  Vapour Pressure (hPa) 
msl:   -  Mean Sea Level Pressure (hPa)
ind:   -  itabspeed wind Speed indicator
wdsp:  -  Mean Wind Speed (knot)
ind:   -  itabdir  wind dir indicator
wddir: -  Predominant Wind Direction (degree)
ww:    -  Synop code for Present Weather
w:     -  Synop code for Past Weather
sun:   -  Sunshine duration (hours)
vis:   -  Visibility (m)
clht:  -  Cloud height (100's of ft) - 999 if none 
clamt: -  Cloud amount


Code  irainfall                    ittt              iwb                    itabspeed / itabdir
----  -------------------------    --------------    ---------------------  -------------------------
0     satisfactory                 positive          positive               -
1     deposition                   negative          negative               10 min
2     trace / sum of traces        est. positive     est. positive          60 min
3     trace / sum of traces (dep.) est. negative     est. negative          10 min + defective
4     estimated precipitation      not available     not available          60 min + defective
5     estimated deposition         -                 frozen negative        10 min + partially defective
6     estimated precip. trace      -                 frozen positive        60 min + partially defective
7     estimated deposition trace   -                 est. frozen negative   not available
8     not available                -                 est. frozen positive   -
111   investigation required       investigation required                   investigation required

date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt
01-jan-2024 00:00,111,0.3,111,4.2,111,3.7,3.0,7.6,92,995.8,111,12,111,270, , ,0.0, ,0,8
01-jan-2024 01:00,111,0.0,111,3.7,111,3.2,2.6,7.3,92,996.4,111,11,111,260, , ,0.0, ,0,8
01-jan-2024 02:00,111,0.0,111,3.0,111,2.7,2.2,7.2,95,996.9,111,9,111,260, , ,0.0, ,0,8
01-jan-2024 03:00,111,0.2,111,2.5,111,2.2,1.7,6.9,95,997.1,111,9,111,230, , ,0.0, ,0,8
01-jan-2024 04:00,111,0.3,111,3.4,111,2.7,1.5,6.9,88,997.4,111,11,111,230, , ,0.0, ,0,8
01-jan-2024 05:00,111,0.1,111,2.7,111,2.4,2.0,7.0,95,997.5,111,9,111,250, , ,0.0, ,0,8
01-jan-2024 06:00,111,0.2,111,2.8,111,2.6,2.3,7.2,96,997.4,111,7,111,230,25,82,0.0,20000,35,6
01-jan-2024 07:00,111,0.0,111,2.5,111,1.9,0.9,6.5,89,997.3,111,6,111,220,25,81,0.0,20000,36,5
01-jan-2024 08:00,111,0.0,111,1.5,111,1.0,0.1,6.2,91,997.3,111,4,111,160,2,11,0.0,25000,999,3
01-jan-2024 09:00,111,0.0,111,1.7,111,1.3,0.6,6.4,93,997.1,111,4,111,180,2,81,0.0,45000,999,3
01-jan-2024 10:00,111,0.0,111,1.5,111,1.1,0.4,6.3,92,996.3,111,3,111,150,2,11,0.0,50000,100,6
01-jan-2024 11:00,111,0.0,111,1.5,111,1.2,0.7,6.4,94,995.4,111,6,111,140,21,62,0.0,45000,46,8
01-jan-2024 12:00,111,0.0,111,2.4,111,2.2,1.9,7.0,96,993.3,111,7,111,140,60,86,0.0,20000,48,8
01-jan-2024 13:00,111,0.3,111,3.3,111,3.2,3.1,7.6,98,991.2,111,10,111,140,60,62,0.0,6000,25,8
01-jan-2024 14:00,111,0.5,111,3.7,111,3.7,3.7,8.0,100,988.3,111,13,111,120,61,66,0.0,3000,2,8
01-jan-2024 15:00,111,2.6,111,3.8,111,3.8,3.8,8.0,100,986.2,111,13,111,120,61,62,0.0,5000,2,8
01-jan-2024 16:00,111,3.1,111,4.1,111,4.1,4.1,8.2,100,984.2,111,12,111,120,61,66,0.0,1600,2,8
01-jan-2024 17:00,111,2.3,111,4.7,111,4.7,4.7,8.5,100,981.7,111,12,111,110,61,66,0.0,1200,2,8
01-jan-2024 18:00,111,2.1,111,5.3,111,5.3,5.3,8.9,100,979.6,111,12,111,110, , ,0.0, ,0,8
01-jan-2024 19:00,111,1.0,111,5.6,111,5.6,5.6,9.1,100,978.6,111,11,111,120, , ,0.0, ,0,8
01-jan-2024 20:00,111,0.3,111,6.7,111,6.7,6.6,9.8,100,978.6,111,6,111,120, , ,0.0, ,0,8
